rank,file,path,ok,returncode,dg_kcal_mol,kd_M,intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,stdout,stderr
72,NB_FP_0109.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0109.pdb,True,0,-9.8,6.4e-08,51,0.0,7.0,5.0,3.0,21.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0109_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 43.88
[+] Percentage of charged NIS residues: 18.94
[++] Predicted binding affinity (kcal.mol-1):     -9.8
[++] Predicted dissociation constant (M) at 25.0˚C:  6.4e-08
",
73,NB_FP_0039.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0039.pdb,True,0,-9.8,6.6e-08,53,0.0,5.0,3.0,8.0,25.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0039_model0
[+] No. of intermolecular contacts: 53
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 8.0
[+] No. of apolar-polar contacts: 25.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 43.08
[+] Percentage of charged NIS residues: 18.14
[++] Predicted binding affinity (kcal.mol-1):     -9.8
[++] Predicted dissociation constant (M) at 25.0˚C:  6.6e-08
",
74,NB_FP_0049.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0049.pdb,True,0,-9.8,6.1e-08,53,2.0,8.0,12.0,3.0,17.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0049_model0
[+] No. of intermolecular contacts: 53
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 43.02
[+] Percentage of charged NIS residues: 19.77
[++] Predicted binding affinity (kcal.mol-1):     -9.8
[++] Predicted dissociation constant (M) at 25.0˚C:  6.1e-08
",
75,NB_FP_0297.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0297.pdb,True,0,-9.8,6.1e-08,57,1.0,6.0,4.0,11.0,27.0,8.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0297_model0
[+] No. of intermolecular contacts: 57
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 4.0
[+] No. of polar-polar contacts: 11.0
[+] No. of apolar-polar contacts: 27.0
[+] No. of apolar-apolar contacts: 8.0
[+] Percentage of apolar NIS residues: 42.69
[+] Percentage of charged NIS residues: 18.79
[++] Predicted binding affinity (kcal.mol-1):     -9.8
[++] Predicted dissociation constant (M) at 25.0˚C:  6.1e-08
",
76,NB_FP_0250.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0250.pdb,True,0,-9.8,6.8e-08,61,2.0,7.0,9.0,1.0,16.0,26.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0250_model0
[+] No. of intermolecular contacts: 61
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 16.0
[+] No. of apolar-apolar contacts: 26.0
[+] Percentage of apolar NIS residues: 43.16
[+] Percentage of charged NIS residues: 19.03
[++] Predicted binding affinity (kcal.mol-1):     -9.8
[++] Predicted dissociation constant (M) at 25.0˚C:  6.8e-08
",
77,NB_FP_0227.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0227.pdb,True,0,-9.8,6.0e-08,46,0.0,4.0,3.0,5.0,23.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0227_model0
[+] No. of intermolecular contacts: 46
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 23.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 43.35
[+] Percentage of charged NIS residues: 18.35
[++] Predicted binding affinity (kcal.mol-1):     -9.8
[++] Predicted dissociation constant (M) at 25.0˚C:  6.0e-08
",
78,NB_FP_0277.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0277.pdb,True,0,-9.8,7.0e-08,60,1.0,6.0,3.0,12.0,28.0,10.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0277_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 12.0
[+] No. of apolar-polar contacts: 28.0
[+] No. of apolar-apolar contacts: 10.0
[+] Percentage of apolar NIS residues: 42.79
[+] Percentage of charged NIS residues: 18.76
[++] Predicted binding affinity (kcal.mol-1):     -9.8
[++] Predicted dissociation constant (M) at 25.0˚C:  7.0e-08
",
79,NB_FP_0291.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0291.pdb,True,0,-9.7,8.3e-08,42,2.0,9.0,8.0,3.0,18.0,2.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0291_model0
[+] No. of intermolecular contacts: 42
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 9.0
[+] No. of charged-apolar contacts: 8.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 18.0
[+] No. of apolar-apolar contacts: 2.0
[+] Percentage of apolar NIS residues: 43.98
[+] Percentage of charged NIS residues: 18.52
[++] Predicted binding affinity (kcal.mol-1):     -9.7
[++] Predicted dissociation constant (M) at 25.0˚C:  8.3e-08
",
80,NB_FP_0207.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0207.pdb,True,0,-9.7,7.5e-08,59,0.0,5.0,11.0,4.0,18.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0207_model0
[+] No. of intermolecular contacts: 59
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 18.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 43.42
[+] Percentage of charged NIS residues: 18.24
[++] Predicted binding affinity (kcal.mol-1):     -9.7
[++] Predicted dissociation constant (M) at 25.0˚C:  7.5e-08
",
81,NB_FP_0175.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0175.pdb,True,0,-9.7,8.0e-08,63,0.0,6.0,3.0,7.0,24.0,23.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0175_model0
[+] No. of intermolecular contacts: 63
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 7.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 23.0
[+] Percentage of apolar NIS residues: 43.61
[+] Percentage of charged NIS residues: 18.04
[++] Predicted binding affinity (kcal.mol-1):     -9.7
[++] Predicted dissociation constant (M) at 25.0˚C:  8.0e-08
",
82,NB_FP_0199.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0199.pdb,True,0,-9.7,7.9e-08,51,0.0,4.0,9.0,1.0,17.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0199_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 44.21
[+] Percentage of charged NIS residues: 18.52
[++] Predicted binding affinity (kcal.mol-1):     -9.7
[++] Predicted dissociation constant (M) at 25.0˚C:  7.9e-08
",
83,NB_FP_0071.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0071.pdb,True,0,-9.7,7.6e-08,62,1.0,8.0,10.0,2.0,17.0,24.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0071_model0
[+] No. of intermolecular contacts: 62
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 8.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 24.0
[+] Percentage of apolar NIS residues: 44.01
[+] Percentage of charged NIS residues: 18.66
[++] Predicted binding affinity (kcal.mol-1):     -9.7
[++] Predicted dissociation constant (M) at 25.0˚C:  7.6e-08
",
84,NB_FP_0226.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0226.pdb,True,0,-9.7,7.7e-08,44,1.0,10.0,11.0,3.0,17.0,2.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0226_model0
[+] No. of intermolecular contacts: 44
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 10.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 2.0
[+] Percentage of apolar NIS residues: 43.29
[+] Percentage of charged NIS residues: 18.98
[++] Predicted binding affinity (kcal.mol-1):     -9.7
[++] Predicted dissociation constant (M) at 25.0˚C:  7.7e-08
",
85,NB_FP_0247.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0247.pdb,True,0,-9.7,7.5e-08,52,4.0,4.0,12.0,3.0,15.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0247_model0
[+] No. of intermolecular contacts: 52
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 15.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 42.69
[+] Percentage of charged NIS residues: 19.18
[++] Predicted binding affinity (kcal.mol-1):     -9.7
[++] Predicted dissociation constant (M) at 25.0˚C:  7.5e-08
",
86,NB_FP_0294.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0294.pdb,True,0,-9.7,8.1e-08,48,1.0,3.0,3.0,3.0,20.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0294_model0
[+] No. of intermolecular contacts: 48
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 3.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 43.19
[+] Percentage of charged NIS residues: 18.48
[++] Predicted binding affinity (kcal.mol-1):     -9.7
[++] Predicted dissociation constant (M) at 25.0˚C:  8.1e-08
",
87,NB_FP_0041.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0041.pdb,True,0,-9.7,7.3e-08,48,0.0,2.0,7.0,4.0,21.0,14.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0041_model0
[+] No. of intermolecular contacts: 48
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 14.0
[+] Percentage of apolar NIS residues: 43.86
[+] Percentage of charged NIS residues: 19.55
[++] Predicted binding affinity (kcal.mol-1):     -9.7
[++] Predicted dissociation constant (M) at 25.0˚C:  7.3e-08
",
88,NB_FP_0299.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0299.pdb,True,0,-9.6,9.7e-08,60,1.0,6.0,7.0,10.0,24.0,12.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0299_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 10.0
[+] No. of apolar-polar contacts: 24.0
[+] No. of apolar-apolar contacts: 12.0
[+] Percentage of apolar NIS residues: 42.86
[+] Percentage of charged NIS residues: 19.20
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.7e-08
",
89,NB_FP_0055.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0055.pdb,True,0,-9.6,9.1e-08,51,1.0,4.0,10.0,3.0,18.0,15.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0055_model0
[+] No. of intermolecular contacts: 51
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 4.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 18.0
[+] No. of apolar-apolar contacts: 15.0
[+] Percentage of apolar NIS residues: 44.95
[+] Percentage of charged NIS residues: 18.35
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.1e-08
",
90,NB_FP_0149.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0149.pdb,True,0,-9.6,9.3e-08,64,3.0,5.0,14.0,3.0,14.0,25.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0149_model0
[+] No. of intermolecular contacts: 64
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 14.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 25.0
[+] Percentage of apolar NIS residues: 42.79
[+] Percentage of charged NIS residues: 19.07
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.3e-08
",
91,NB_FP_0151.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0151.pdb,True,0,-9.6,8.7e-08,47,5.0,6.0,11.0,1.0,13.0,11.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0151_model0
[+] No. of intermolecular contacts: 47
[+] No. of charged-charged contacts: 5.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 11.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 11.0
[+] Percentage of apolar NIS residues: 43.12
[+] Percentage of charged NIS residues: 18.74
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  8.7e-08
",
92,NB_FP_0063.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0063.pdb,True,0,-9.6,9.4e-08,47,1.0,3.0,6.0,4.0,20.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0063_model0
[+] No. of intermolecular contacts: 47
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 6.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 44.24
[+] Percentage of charged NIS residues: 18.43
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.4e-08
",
93,NB_FP_0202.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0202.pdb,True,0,-9.6,9.0e-08,57,0.0,7.0,5.0,4.0,21.0,20.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0202_model0
[+] No. of intermolecular contacts: 57
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 5.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 21.0
[+] No. of apolar-apolar contacts: 20.0
[+] Percentage of apolar NIS residues: 44.06
[+] Percentage of charged NIS residues: 18.72
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.0e-08
",
94,NB_FP_0096.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0096.pdb,True,0,-9.6,9.1e-08,55,7.0,3.0,15.0,1.0,11.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0096_model0
[+] No. of intermolecular contacts: 55
[+] No. of charged-charged contacts: 7.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 15.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 11.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 43.62
[+] Percentage of charged NIS residues: 19.26
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.1e-08
",
95,NB_FP_0254.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0254.pdb,True,0,-9.6,9.8e-08,45,4.0,2.0,12.0,1.0,13.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0254_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 4.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 12.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 13.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 43.81
[+] Percentage of charged NIS residues: 18.35
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.8e-08
",
96,NB_FP_0178.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0178.pdb,True,0,-9.6,9.0e-08,52,1.0,7.0,10.0,5.0,19.0,10.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0178_model0
[+] No. of intermolecular contacts: 52
[+] No. of charged-charged contacts: 1.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 5.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 10.0
[+] Percentage of apolar NIS residues: 43.46
[+] Percentage of charged NIS residues: 19.16
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.0e-08
",
97,NB_FP_0147.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0147.pdb,True,0,-9.6,8.6e-08,60,0.0,7.0,16.0,2.0,14.0,21.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0147_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 16.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 21.0
[+] Percentage of apolar NIS residues: 43.78
[+] Percentage of charged NIS residues: 18.20
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  8.6e-08
",
98,NB_FP_0148.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0148.pdb,True,0,-9.6,9.1e-08,44,2.0,6.0,15.0,2.0,14.0,5.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0148_model0
[+] No. of intermolecular contacts: 44
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 15.0
[+] No. of polar-polar contacts: 2.0
[+] No. of apolar-polar contacts: 14.0
[+] No. of apolar-apolar contacts: 5.0
[+] Percentage of apolar NIS residues: 43.78
[+] Percentage of charged NIS residues: 19.12
[++] Predicted binding affinity (kcal.mol-1):     -9.6
[++] Predicted dissociation constant (M) at 25.0˚C:  9.1e-08
",
99,NB_FP_0249.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0249.pdb,True,0,-9.5,1.1e-07,60,0.0,3.0,10.0,3.0,17.0,27.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0249_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 3.0
[+] No. of charged-apolar contacts: 10.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 27.0
[+] Percentage of apolar NIS residues: 43.52
[+] Percentage of charged NIS residues: 18.75
[++] Predicted binding affinity (kcal.mol-1):     -9.5
[++] Predicted dissociation constant (M) at 25.0˚C:  1.1e-07
",
100,NB_FP_0245.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0245.pdb,True,0,-9.5,1.0e-07,49,0.0,6.0,7.0,4.0,19.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0245_model0
[+] No. of intermolecular contacts: 49
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 4.0
[+] No. of apolar-polar contacts: 19.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 43.29
[+] Percentage of charged NIS residues: 18.52
[++] Predicted binding affinity (kcal.mol-1):     -9.5
[++] Predicted dissociation constant (M) at 25.0˚C:  1.0e-07
",
101,NB_FP_0242.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0242.pdb,True,0,-9.5,9.9e-08,60,9.0,6.0,18.0,1.0,8.0,18.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0242_model0
[+] No. of intermolecular contacts: 60
[+] No. of charged-charged contacts: 9.0
[+] No. of charged-polar contacts: 6.0
[+] No. of charged-apolar contacts: 18.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 8.0
[+] No. of apolar-apolar contacts: 18.0
[+] Percentage of apolar NIS residues: 42.24
[+] Percentage of charged NIS residues: 20.09
[++] Predicted binding affinity (kcal.mol-1):     -9.5
[++] Predicted dissociation constant (M) at 25.0˚C:  9.9e-08
",
102,NB_FP_0290.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0290.pdb,True,0,-9.5,1.1e-07,45,3.0,2.0,7.0,3.0,17.0,13.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0290_model0
[+] No. of intermolecular contacts: 45
[+] No. of charged-charged contacts: 3.0
[+] No. of charged-polar contacts: 2.0
[+] No. of charged-apolar contacts: 7.0
[+] No. of polar-polar contacts: 3.0
[+] No. of apolar-polar contacts: 17.0
[+] No. of apolar-apolar contacts: 13.0
[+] Percentage of apolar NIS residues: 43.64
[+] Percentage of charged NIS residues: 18.41
[++] Predicted binding affinity (kcal.mol-1):     -9.5
[++] Predicted dissociation constant (M) at 25.0˚C:  1.1e-07
",
103,NB_FP_0108.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0108.pdb,True,0,-9.5,1.2e-07,42,0.0,5.0,9.0,6.0,20.0,2.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0108_model0
[+] No. of intermolecular contacts: 42
[+] No. of charged-charged contacts: 0.0
[+] No. of charged-polar contacts: 5.0
[+] No. of charged-apolar contacts: 9.0
[+] No. of polar-polar contacts: 6.0
[+] No. of apolar-polar contacts: 20.0
[+] No. of apolar-apolar contacts: 2.0
[+] Percentage of apolar NIS residues: 43.62
[+] Percentage of charged NIS residues: 18.79
[++] Predicted binding affinity (kcal.mol-1):     -9.5
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-07
",
104,NB_FP_0062.pdb,/teams/YingChiLab_1702378116/MaishaZhang/PPIFlow-main/output/final_flowpacked_designs/nanobody/NB_FP_0062.pdb,True,0,-9.4,1.2e-07,64,2.0,7.0,14.0,1.0,12.0,28.0,"[+] Executing 1 task(s) in total
##########################################
[+] Processing structure NB_FP_0062_model0
[+] No. of intermolecular contacts: 64
[+] No. of charged-charged contacts: 2.0
[+] No. of charged-polar contacts: 7.0
[+] No. of charged-apolar contacts: 14.0
[+] No. of polar-polar contacts: 1.0
[+] No. of apolar-polar contacts: 12.0
[+] No. of apolar-apolar contacts: 28.0
[+] Percentage of apolar NIS residues: 42.59
[+] Percentage of charged NIS residues: 19.44
[++] Predicted binding affinity (kcal.mol-1):     -9.4
[++] Predicted dissociation constant (M) at 25.0˚C:  1.2e-07
",
